"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2009","991.75","993.65","999.30","985.10","","-0.30%"
"09/24/2009","994.75","1,007.35","1,019.50","991.20","","-1.36%"
"09/23/2009","1,008.45","1,013.85","1,018.35","1,005.90","","-0.63%"
"09/22/2009","1,014.80","1,003.60","1,020.50","1,002.90","","1.12%"
"09/21/2009","1,003.55","1,005.45","1,007.60","996.50","","-0.36%"
"09/18/2009","1,007.15","1,013.50","1,018.55","1,006.90","","-0.52%"
"09/17/2009","1,012.45","1,017.25","1,024.85","1,010.60","","-0.52%"
"09/16/2009","1,017.70","1,007.10","1,021.50","1,006.90","","1.07%"
"09/15/2009","1,006.90","999.35","1,010.50","992.90","","0.67%"
"09/14/2009","1,000.15","1,005.35","1,009.70","993.90","","-0.57%"
"09/11/2009","1,005.85","996.00","1,012.55","995.40","","0.94%"
"09/10/2009","996.50","992.05","998.90","983.10","","0.39%"
"09/09/2009","992.65","996.80","1,003.95","987.95","","-0.41%"
"09/08/2009","996.70","995.50","1,008.95","994.05","","0.14%"
"09/07/2009","995.35","994.40","997.85","992.15","","0.10%"
"09/04/2009","994.40","992.30","997.30","986.10","","0.28%"
"09/03/2009","991.60","977.55","998.20","975.20","","1.40%"
"09/02/2009","977.90","956.65","981.10","952.45","","2.15%"
"09/01/2009","957.35","950.55","958.00","947.00","","0.65%"
"08/31/2009","951.15","956.15","961.85","945.30","","-0.50%"
"08/28/2009","955.95","948.70","962.00","948.70","","0.81%"
"08/27/2009","948.25","945.00","951.45","942.10","","0.28%"
"08/26/2009","945.60","943.80","950.35","939.80","","0.06%"
"08/25/2009","945.05","943.25","955.70","941.65","","0.23%"
"08/24/2009","942.90","952.40","957.20","939.80","","-1.18%"
"08/21/2009","954.15","940.00","958.65","938.60","","1.41%"
"08/20/2009","940.85","943.30","947.10","938.60","","-0.13%"
"08/19/2009","942.05","937.75","945.30","932.40","","0.35%"
"08/18/2009","938.80","934.15","941.50","934.15","","0.48%"
"08/17/2009","934.30","947.50","949.35","931.20","","-1.38%"
"08/14/2009","947.35","955.05","960.50","944.40","","-0.80%"
"08/13/2009","955.00","948.05","962.05","948.05","","0.76%"
"08/12/2009","947.75","946.50","953.40","940.90","","0.18%"
"08/11/2009","946.05","946.40","950.95","943.00","","-0.01%"
"08/10/2009","946.15","954.75","958.10","943.50","","-0.92%"
"08/07/2009","954.90","963.65","965.70","954.20","","-0.86%"
"08/06/2009","963.15","963.30","972.25","956.85","","0.02%"
"08/05/2009","962.95","967.80","968.75","959.55","","-0.50%"
"08/04/2009","967.75","957.50","971.05","951.85","","1.18%"
"08/03/2009","956.50","953.30","963.10","952.20","","0.18%"
"07/31/2009","954.75","934.60","957.20","932.60","","2.19%"
"07/30/2009","934.30","929.95","937.80","929.00","","0.46%"
"07/29/2009","930.00","937.90","941.70","926.10","","-0.82%"
"07/28/2009","937.65","953.40","957.40","934.70","","-1.68%"
"07/27/2009","953.65","951.80","959.70","948.20","","0.24%"
"07/24/2009","951.35","947.70","954.90","946.95","","0.34%"
"07/23/2009","948.15","952.75","958.10","948.10","","-0.34%"
"07/22/2009","951.40","949.00","955.40","945.50","","0.24%"
"07/21/2009","949.15","950.00","954.40","945.10","","-0.02%"
"07/20/2009","949.35","938.30","955.90","937.65","","1.24%"
"07/17/2009","937.70","937.70","940.70","932.60","","0.04%"
"07/16/2009","937.35","940.00","941.05","933.40","","-0.22%"
"07/15/2009","939.45","925.95","942.95","925.30","","1.50%"
"07/14/2009","925.60","921.30","928.25","918.60","","0.50%"
"07/13/2009","921.00","912.10","924.10","908.40","","0.86%"
"07/10/2009","913.15","912.30","916.10","907.80","","0.08%"
"07/09/2009","912.45","909.35","919.30","907.10","","0.33%"
"07/08/2009","909.45","923.95","925.90","906.00","","-1.61%"
"07/07/2009","924.30","924.60","932.55","922.05","","-0.08%"
"07/06/2009","925.00","932.55","933.10","921.10","","-0.80%"
"07/03/2009","932.50","928.85","934.90","927.90","","0.31%"
"07/02/2009","929.65","940.80","942.05","927.10","","-1.18%"
"07/01/2009","940.75","925.80","946.75","925.75","","1.50%"
"06/30/2009","926.85","937.60","945.70","923.60","","-1.19%"
"06/29/2009","938.05","940.60","943.50","934.40","","-0.11%"
"06/26/2009","939.05","938.65","948.70","936.30","","-0.01%"
"06/25/2009","939.15","930.90","940.10","929.90","","0.76%"
"06/24/2009","932.10","926.10","943.20","923.00","","0.64%"
"06/23/2009","926.15","922.70","927.75","913.90","","0.35%"
"06/22/2009","922.90","933.95","935.40","918.90","","-1.22%"
"06/19/2009","934.30","934.45","939.80","931.45","","0.10%"
"06/18/2009","933.35","940.55","943.70","930.60","","-0.64%"
"06/17/2009","939.40","934.85","940.95","928.50","","0.46%"
"06/16/2009","935.10","928.75","940.25","927.40","","0.73%"
"06/15/2009","928.35","939.00","939.30","926.00","","-1.12%"
"06/12/2009","938.90","955.30","958.95","937.00","","-1.69%"
"06/11/2009","955.00","954.60","962.70","944.10","","0.04%"
"06/10/2009","954.65","955.35","966.25","947.60","","-0.01%"
"06/09/2009","954.75","951.20","962.60","948.00","","0.39%"
"06/08/2009","951.05","955.65","960.45","944.30","","-0.55%"
"06/05/2009","956.30","981.25","983.45","953.50","","-2.43%"
"06/04/2009","980.10","963.25","982.50","961.70","","1.76%"
"06/03/2009","963.15","982.05","990.80","961.35","","-1.90%"
"06/02/2009","981.85","975.25","987.40","969.60","","0.68%"
"06/01/2009","975.20","979.60","989.50","974.10","","-0.49%"
"05/29/2009","980.00","959.65","981.00","956.50","","2.10%"
"05/28/2009","959.80","948.65","965.95","944.55","","1.14%"
"05/27/2009","949.00","953.25","960.20","942.25","","-0.33%"
"05/26/2009","952.15","958.00","958.95","941.10","","-0.69%"
"05/25/2009","958.80","957.00","960.05","953.10","","0.15%"
"05/22/2009","957.35","955.05","962.30","950.40","","0.31%"
"05/21/2009","954.40","938.50","956.95","936.00","","1.74%"
"05/20/2009","938.10","925.50","941.25","925.40","","1.34%"
"05/19/2009","925.65","918.25","930.15","917.10","","0.81%"
"05/18/2009","918.20","930.60","934.50","916.05","","-1.45%"
"05/15/2009","931.70","926.60","934.65","923.90","","0.58%"
"05/14/2009","926.35","926.40","929.45","920.60","","-0.01%"
"05/13/2009","926.45","923.20","931.40","917.70","","0.39%"
"05/12/2009","922.85","913.25","924.75","912.40","","1.01%"
"05/11/2009","913.60","916.65","918.55","909.00","","-0.38%"
"05/08/2009","917.05","910.80","920.65","905.40","","0.77%"
"05/07/2009","910.05","910.10","926.15","909.20","","-0.09%"
"05/06/2009","910.90","895.80","913.25","895.30","","1.63%"
"05/05/2009","896.30","902.30","916.05","895.70","","-0.78%"
"05/04/2009","903.35","887.30","907.60","885.05","","1.81%"
"05/01/2009","887.30","887.80","890.55","881.05","","0.09%"
"04/30/2009","886.50","897.65","900.70","880.80","","-1.35%"
"04/29/2009","898.60","892.60","903.60","888.50","","0.67%"
"04/28/2009","892.60","907.05","908.25","885.20","","-1.51%"
"04/27/2009","906.25","912.70","918.85","905.00","","-0.75%"
"04/24/2009","913.10","904.40","914.50","903.25","","1.12%"
"04/23/2009","903.00","890.55","909.70","889.75","","1.44%"
"04/22/2009","890.15","883.50","894.15","882.30","","0.78%"
"04/21/2009","883.25","885.00","895.75","879.70","","-0.21%"
"04/20/2009","885.15","869.05","889.20","865.50","","1.87%"
"04/17/2009","868.90","875.95","877.15","865.00","","-0.76%"
"04/16/2009","875.55","891.50","894.45","872.50","","-1.80%"
"04/15/2009","891.60","889.60","899.80","886.55","","0.20%"
"04/14/2009","889.85","893.90","899.05","886.30","","-0.36%"
"04/13/2009","893.05","881.65","900.35","881.65","","1.29%"
"04/10/2009","881.65","879.00","885.90","878.00","","0.26%"
"04/09/2009","879.40","881.05","887.05","875.10","","-0.13%"
"04/08/2009","880.55","880.85","890.85","878.30","","-0.03%"
"04/07/2009","880.85","868.75","884.95","868.65","","1.27%"
"04/06/2009","869.80","894.85","896.80","865.30","","-2.70%"
"04/03/2009","893.90","904.45","910.70","892.00","","-1.13%"
"04/02/2009","904.15","927.30","929.80","894.70","","-2.51%"
"04/01/2009","927.40","918.55","933.35","916.70","","1.01%"
"03/31/2009","918.15","917.60","925.45","912.35","","0.09%"
"03/30/2009","917.30","924.40","932.75","907.90","","-0.62%"
"03/27/2009","923.05","935.70","937.85","920.10","","-1.18%"
"03/26/2009","934.05","934.25","945.95","932.40","","-0.01%"
"03/25/2009","934.15","927.15","941.00","917.10","","0.81%"
"03/24/2009","926.65","937.95","944.80","917.65","","-1.23%"
"03/23/2009","938.15","950.85","958.00","937.75","","-1.54%"
"03/20/2009","952.85","960.15","968.70","947.50","","-0.68%"
"03/19/2009","959.40","939.80","962.30","925.80","","1.86%"
"03/18/2009","941.90","916.50","947.05","884.90","","2.94%"
"03/17/2009","915.00","924.10","924.70","912.20","","-0.90%"
"03/16/2009","923.35","928.35","930.25","915.50","","-0.52%"
"03/13/2009","928.20","927.05","939.50","919.80","","0.06%"
"03/12/2009","927.65","906.95","931.45","905.95","","2.20%"
"03/11/2009","907.65","896.65","913.75","892.55","","1.21%"
"03/10/2009","896.80","922.20","922.95","891.30","","-2.73%"
"03/09/2009","921.95","939.50","942.75","911.40","","-1.64%"
"03/06/2009","937.35","932.85","945.40","930.05","","0.48%"
"03/05/2009","932.85","907.60","937.15","905.80","","2.78%"
"03/04/2009","907.65","916.55","923.80","901.75","","-0.90%"
"03/03/2009","915.85","925.90","932.90","904.90","","-1.17%"
"03/02/2009","926.65","940.00","959.00","926.55","","-1.96%"
"02/27/2009","945.15","945.75","963.10","927.75","","-0.04%"
"02/26/2009","945.50","953.15","957.00","931.80","","-0.50%"
"02/25/2009","950.25","963.55","978.60","944.55","","-1.44%"
"02/24/2009","964.15","992.00","995.80","959.75","","-2.93%"
"02/23/2009","993.25","993.50","998.35","976.00","","-0.01%"
"02/20/2009","993.30","974.65","1,006.40","970.60","","1.89%"
"02/19/2009","974.85","985.40","986.95","968.90","","-1.03%"
"02/18/2009","985.00","969.40","985.65","960.80","","1.53%"
"02/17/2009","970.15","942.00","974.20","940.35","","2.98%"
"02/16/2009","942.05","941.70","944.55","936.45","","-0.01%"
"02/13/2009","942.10","946.00","947.65","932.40","","-0.61%"
"02/12/2009","947.90","939.20","952.80","935.30","","0.93%"
"02/11/2009","939.15","915.45","947.25","911.00","","2.39%"
"02/10/2009","917.25","895.95","919.00","891.20","","2.43%"
"02/09/2009","895.50","910.65","912.70","891.20","","-1.76%"
"02/06/2009","911.55","914.70","922.50","904.25","","-0.46%"
